"YEAR","ID_","AGE","EDUC","SEX","RACE","RICHWORK","JOBINC","GETAHEAD","TIMEPDWK","TIMELEIS","WRKEARN","WRKENJOY","SECJOB","HIINC","PROMOTN","INTJOB","WRKINDP","HLPOTHS","HLPSOC","FLEXHRS","IWRKHARD","JOBSAT","HELPORG1"
1989,1,22,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,2,40,6,1,3,0,0,0,1,3,3,1,1,2,3,8,3,3,3,2,0,0,0
1989,3,36,16,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,4,26,16,1,1,0,0,0,4,2,5,2,2,2,2,1,1,1,1,2,3,3,0
1989,5,38,16,1,1,1,2,1,3,2,5,1,2,2,2,2,3,4,3,4,3,3,0
1989,6,27,13,2,1,0,0,0,3,1,4,2,2,2,2,2,3,2,2,2,3,3,0
1989,7,33,10,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,8,19,11,2,2,1,1,3,3,1,2,5,1,1,3,1,1,3,3,1,2,2,0
1989,9,40,12,1,2,0,0,0,3,2,2,3,1,1,2,2,2,3,1,3,3,4,0
1989,10,71,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,11,55,9,2,2,0,2,1,8,3,2,3,1,1,1,2,3,4,2,2,0,0,0
1989,12,22,11,2,1,2,1,3,4,1,1,5,2,1,1,2,1,3,1,1,1,3,0
1989,13,65,12,1,1,0,0,0,3,1,3,2,1,1,3,1,2,3,3,2,3,4,0
1989,14,23,14,2,1,0,1,3,9,1,3,3,1,2,2,2,2,2,9,2,0,0,0
1989,15,20,5,2,1,0,1,3,3,1,1,2,8,8,8,8,8,8,8,8,0,0,0
1989,16,38,12,2,3,0,1,2,9,1,3,5,3,3,3,3,3,3,3,3,0,0,0
1989,17,40,16,2,1,0,0,0,3,2,5,2,1,2,2,1,3,2,2,3,2,1,0
1989,18,42,6,2,3,0,0,0,2,3,4,2,1,2,1,2,2,2,2,2,3,3,0
1989,19,53,11,2,1,1,1,1,3,2,1,1,1,2,2,2,2,3,2,2,3,4,0
1989,20,42,12,2,1,0,0,0,3,1,2,4,1,2,1,1,2,1,1,1,3,1,0
1989,21,50,18,2,1,1,2,2,2,3,1,2,1,2,2,2,2,2,2,3,3,3,0
1989,22,18,13,1,1,1,1,1,2,2,3,3,2,2,2,2,2,1,2,2,1,2,0
1989,23,41,12,2,2,1,2,3,4,2,3,2,1,2,2,2,2,3,3,1,2,3,0
1989,24,22,14,1,1,0,0,0,2,2,4,4,2,1,1,1,2,2,3,3,2,5,0
1989,25,25,14,1,3,0,0,0,2,1,2,3,1,1,1,1,1,2,2,2,1,3,0
